,Year and Month,Adj CPI
333,1940-10-01,0.056481903601528244
334,1940-11-01,0.056481903601528244
335,1940-12-01,0.05688534577011058
336,1941-01-01,0.05688534577011058
337,1941-02-01,0.05688534577011058
338,1941-03-01,0.05728878793869293
339,1941-04-01,0.057692230107275276
340,1941-05-01,0.05809567227585762
341,1941-06-01,0.05930599878160465
342,1941-07-01,0.05930599878160465
343,1941-08-01,0.06011288311876934
344,1941-09-01,0.06091976745593403
345,1941-10-01,0.061726651793098726
346,1941-11-01,0.062130093961681065
347,1941-12-01,0.06253353613026341
348,1942-01-01,0.06334042046742809
349,1942-02-01,0.06374386263601045
350,1942-03-01,0.06455074697317513
351,1942-04-01,0.06495418914175748
352,1942-05-01,0.06576107347892217
353,1942-06-01,0.06576107347892217
354,1942-07-01,0.0661645156475045
355,1942-08-01,0.06656795781608686
356,1942-09-01,0.06656795781608686
357,1942-10-01,0.06737484215325154
358,1942-11-01,0.06777828432183389
359,1942-12-01,0.06818172649041623
360,1943-01-01,0.06818172649041623
361,1943-02-01,0.06818172649041623
362,1943-03-01,0.06939205299616326
363,1943-04-01,0.07019893733332795
364,1943-05-01,0.0706023795019103
365,1943-06-01,0.0706023795019103
366,1943-07-01,0.07019893733332795
367,1943-08-01,0.06979549516474562
368,1943-09-01,0.07019893733332795
369,1943-10-01,0.07019893733332795
370,1943-11-01,0.07019893733332795
371,1943-12-01,0.07019893733332795
372,1944-01-01,0.07019893733332795
373,1944-02-01,0.07019893733332795
374,1944-03-01,0.07019893733332795
375,1944-04-01,0.0706023795019103
376,1944-05-01,0.0706023795019103
377,1944-06-01,0.07100582167049266
378,1944-07-01,0.07140926383907499
379,1944-08-01,0.07140926383907499
380,1944-09-01,0.07140926383907499
381,1944-10-01,0.07140926383907499
382,1944-11-01,0.07140926383907499
383,1944-12-01,0.07181270600765734
384,1945-01-01,0.07181270600765734
385,1945-02-01,0.07181270600765734
386,1945-03-01,0.07181270600765734
387,1945-04-01,0.07181270600765734
388,1945-05-01,0.07221614817623967
389,1945-06-01,0.07302303251340438
390,1945-07-01,0.07302303251340438
391,1945-08-01,0.07302303251340438
392,1945-09-01,0.07302303251340438
393,1945-10-01,0.07302303251340438
394,1945-11-01,0.07302303251340438
395,1945-12-01,0.07342647468198671
396,1946-01-01,0.07342647468198671
397,1946-02-01,0.07302303251340438
398,1946-03-01,0.07382991685056906
399,1946-04-01,0.0742333590191514
400,1946-05-01,0.07463680118773375
401,1946-06-01,0.07544368552489843
402,1946-07-01,0.07988154937930422
403,1946-08-01,0.08149531805363361
404,1946-09-01,0.08230220239079829
405,1946-10-01,0.08391597106512767
406,1946-11-01,0.0859331819080394
407,1946-12-01,0.08674006624520408
408,1947-01-01,0.08674006624520408
409,1947-02-01,0.08674006624520408
410,1947-03-01,0.08835383491953346
411,1947-04-01,0.08835383491953346
412,1947-05-01,0.08835383491953346
413,1947-06-01,0.0887572770881158
414,1947-07-01,0.0895641614252805
415,1947-08-01,0.09077448793102753
416,1947-09-01,0.09279169877393925
417,1947-10-01,0.09279169877393925
418,1947-11-01,0.0931951409425216
419,1947-12-01,0.09440546744826862
420,1948-01-01,0.09561579395401566
421,1948-02-01,0.09480890961685097
422,1948-03-01,0.09440546744826862
423,1948-04-01,0.09601923612259801
424,1948-05-01,0.09642267829118036
425,1948-06-01,0.09722956262834505
426,1948-07-01,0.09843988913409207
427,1948-08-01,0.09884333130267442
428,1948-09-01,0.09884333130267442
429,1948-10-01,0.09843988913409207
430,1948-11-01,0.09763300479692738
431,1948-12-01,0.09722956262834505
432,1949-01-01,0.0968261204597627
433,1949-02-01,0.09601923612259801
434,1949-03-01,0.09601923612259801
435,1949-04-01,0.09642267829118036
436,1949-05-01,0.09601923612259801
437,1949-06-01,0.09642267829118036
438,1949-07-01,0.09561579395401566
439,1949-08-01,0.09601923612259801
440,1949-09-01,0.09642267829118036
441,1949-10-01,0.09561579395401566
442,1949-11-01,0.09601923612259801
443,1949-12-01,0.09521235178543333
444,1950-01-01,0.09480890961685097
445,1950-02-01,0.09480890961685097
446,1950-03-01,0.09521235178543333
447,1950-04-01,0.09521235178543333
448,1950-05-01,0.09561579395401566
449,1950-06-01,0.09601923612259801
450,1950-07-01,0.09722956262834505
451,1950-08-01,0.09803644696550974
452,1950-09-01,0.09843988913409207
453,1950-10-01,0.09924677347125677
454,1950-11-01,0.09965021563983911
455,1950-12-01,0.10086054214558615
456,1951-01-01,0.10247431081991552
457,1951-02-01,0.10368463732566255
458,1951-03-01,0.10408807949424491
459,1951-04-01,0.10408807949424491
460,1951-05-01,0.10449152166282724
461,1951-06-01,0.10449152166282724
462,1951-07-01,0.10449152166282724
463,1951-08-01,0.10449152166282724
464,1951-09-01,0.10529840599999193
465,1951-10-01,0.10570184816857428
466,1951-11-01,0.10650873250573896
467,1951-12-01,0.10691217467432132
468,1952-01-01,0.10691217467432132
469,1952-02-01,0.10610529033715663
470,1952-03-01,0.10610529033715663
471,1952-04-01,0.10650873250573896
472,1952-05-01,0.10650873250573896
473,1952-06-01,0.10691217467432132
474,1952-07-01,0.107719059011486
475,1952-08-01,0.107719059011486
476,1952-09-01,0.107719059011486
477,1952-10-01,0.107719059011486
478,1952-11-01,0.107719059011486
479,1952-12-01,0.107719059011486
480,1953-01-01,0.10731561684290367
481,1953-02-01,0.10691217467432132
482,1953-03-01,0.10731561684290367
483,1953-04-01,0.10731561684290367
484,1953-05-01,0.107719059011486
485,1953-06-01,0.10812250118006834
486,1953-07-01,0.10812250118006834
487,1953-08-01,0.10852594334865069
488,1953-09-01,0.10852594334865069
489,1953-10-01,0.10892938551723304
490,1953-11-01,0.10852594334865069
491,1953-12-01,0.10852594334865069
492,1954-01-01,0.10852594334865069
493,1954-02-01,0.10852594334865069
494,1954-03-01,0.10852594334865069
495,1954-04-01,0.10812250118006834
496,1954-05-01,0.10852594334865069
497,1954-06-01,0.10852594334865069
498,1954-07-01,0.10852594334865069
499,1954-08-01,0.10852594334865069
500,1954-09-01,0.10812250118006834
501,1954-10-01,0.10812250118006834
502,1954-11-01,0.10812250118006834
503,1954-12-01,0.107719059011486
504,1955-01-01,0.107719059011486
505,1955-02-01,0.107719059011486
506,1955-03-01,0.107719059011486
507,1955-04-01,0.107719059011486
508,1955-05-01,0.107719059011486
509,1955-06-01,0.107719059011486
510,1955-07-01,0.10812250118006834
511,1955-08-01,0.10812250118006834
512,1955-09-01,0.10852594334865069
513,1955-10-01,0.10852594334865069
514,1955-11-01,0.10852594334865069
515,1955-12-01,0.10812250118006834
516,1956-01-01,0.10812250118006834
517,1956-02-01,0.10812250118006834
518,1956-03-01,0.10812250118006834
519,1956-04-01,0.10852594334865069
520,1956-05-01,0.10892938551723304
521,1956-06-01,0.10973626985439772
522,1956-07-01,0.11054315419156241
523,1956-08-01,0.11013971202298008
524,1956-09-01,0.11054315419156241
525,1956-10-01,0.11094659636014476
526,1956-11-01,0.11094659636014476
527,1956-12-01,0.11135003852872712
528,1957-01-01,0.11135003852872712
529,1957-02-01,0.11175348069730945
530,1957-03-01,0.1121569228658918
531,1957-04-01,0.11256036503447413
532,1957-05-01,0.11296380720305649
533,1957-06-01,0.11336724937163883
534,1957-07-01,0.11417413370880351
535,1957-08-01,0.11417413370880351
536,1957-09-01,0.11417413370880351
537,1957-10-01,0.11417413370880351
538,1957-11-01,0.11457757587738586
539,1957-12-01,0.11457757587738586
540,1958-01-01,0.11538446021455055
541,1958-02-01,0.11538446021455055
542,1958-03-01,0.11619134455171524
543,1958-04-01,0.11659478672029758
544,1958-05-01,0.11659478672029758
545,1958-06-01,0.11659478672029758
546,1958-07-01,0.11699822888887992
547,1958-08-01,0.11659478672029758
548,1958-09-01,0.11659478672029758
549,1958-10-01,0.11659478672029758
550,1958-11-01,0.11699822888887992
551,1958-12-01,0.11659478672029758
552,1959-01-01,0.11699822888887992
553,1959-02-01,0.11659478672029758
554,1959-03-01,0.11659478672029758
555,1959-04-01,0.11699822888887992
556,1959-05-01,0.11699822888887992
557,1959-06-01,0.11740167105746228
558,1959-07-01,0.11780511322604462
559,1959-08-01,0.11780511322604462
560,1959-09-01,0.11820855539462696
561,1959-10-01,0.1186119975632093
562,1959-11-01,0.1186119975632093
563,1959-12-01,0.1186119975632093
564,1960-01-01,0.11820855539462696
565,1960-02-01,0.1186119975632093
566,1960-03-01,0.1186119975632093
567,1960-04-01,0.11901543973179166
568,1960-05-01,0.11901543973179166
569,1960-06-01,0.119418881900374
570,1960-07-01,0.119418881900374
571,1960-08-01,0.119418881900374
572,1960-09-01,0.119418881900374
573,1960-10-01,0.12022576623753868
574,1960-11-01,0.12022576623753868
575,1960-12-01,0.12022576623753868
576,1961-01-01,0.12022576623753868
577,1961-02-01,0.12022576623753868
578,1961-03-01,0.12022576623753868
579,1961-04-01,0.12022576623753868
580,1961-05-01,0.12022576623753868
581,1961-06-01,0.12022576623753868
582,1961-07-01,0.12103265057470337
583,1961-08-01,0.12062920840612103
584,1961-09-01,0.12103265057470337
585,1961-10-01,0.12103265057470337
586,1961-11-01,0.12103265057470337
587,1961-12-01,0.12103265057470337
588,1962-01-01,0.12103265057470337
589,1962-02-01,0.12143609274328572
590,1962-03-01,0.12143609274328572
591,1962-04-01,0.12183953491186807
592,1962-05-01,0.12183953491186807
593,1962-06-01,0.12183953491186807
594,1962-07-01,0.12224297708045041
595,1962-08-01,0.12224297708045041
596,1962-09-01,0.12264641924903275
597,1962-10-01,0.12264641924903275
598,1962-11-01,0.12264641924903275
599,1962-12-01,0.12264641924903275
600,1963-01-01,0.12264641924903275
601,1963-02-01,0.12264641924903275
602,1963-03-01,0.12304986141761509
603,1963-04-01,0.12304986141761509
604,1963-05-01,0.12304986141761509
605,1963-06-01,0.12345330358619745
606,1963-07-01,0.12385674575477978
607,1963-08-01,0.12385674575477978
608,1963-09-01,0.12385674575477978
609,1963-10-01,0.12426018792336213
610,1963-11-01,0.12426018792336213
611,1963-12-01,0.12466363009194446
612,1964-01-01,0.12466363009194446
613,1964-02-01,0.12466363009194446
614,1964-03-01,0.12466363009194446
615,1964-04-01,0.12466363009194446
616,1964-05-01,0.12466363009194446
617,1964-06-01,0.12506707226052682
618,1964-07-01,0.12547051442910917
619,1964-08-01,0.12506707226052682
620,1964-09-01,0.12547051442910917
621,1964-10-01,0.12547051442910917
622,1964-11-01,0.12587395659769152
623,1964-12-01,0.12587395659769152
624,1965-01-01,0.12587395659769152
625,1965-02-01,0.12587395659769152
626,1965-03-01,0.12627739876627386
627,1965-04-01,0.12668084093485618
628,1965-05-01,0.12668084093485618
629,1965-06-01,0.1274877252720209
630,1965-07-01,0.1274877252720209
631,1965-08-01,0.1274877252720209
632,1965-09-01,0.1274877252720209
633,1965-10-01,0.12789116744060322
634,1965-11-01,0.12789116744060322
